Clip,L1 Loss,L2 Loss,SNR (dB)
34598,1.641197,4.398760,30.52
34599,1.651830,4.349548,30.50
34600,1.635692,4.211542,30.56
34601,1.707089,4.645761,30.07
34602,1.874823,5.718432,29.09
34603,2.010883,6.785425,28.25
34604,2.062626,7.068678,27.93
34605,2.010050,6.540477,28.07
34606,1.794669,5.433650,28.62
34607,1.723085,5.192000,28.49
34608,1.756886,5.261366,28.08
34609,1.851722,5.439938,27.56
34610,2.119814,6.950706,26.12
34611,2.436733,9.211453,24.52
34612,2.545744,10.371572,23.66
34613,2.476872,10.316425,23.36
34614,2.563177,11.510810,22.60
34615,2.508696,10.940639,22.58
34616,2.409023,10.040044,22.72
34617,2.341530,9.393201,22.77
34618,2.334304,9.205621,22.62
34619,2.278983,8.586255,22.69
34620,2.168375,7.529126,23.05
34621,2.125278,7.121714,23.10
34622,2.115299,7.090184,22.96
34623,2.075027,6.842925,22.98
34624,2.049053,6.613613,23.01
34625,2.030037,6.457546,23.00
34626,2.084630,6.874022,22.61
34627,2.211435,7.863836,21.92
34628,2.368334,9.029702,21.24
34629,2.522823,10.060147,20.73
34630,2.702961,11.358547,20.18
34631,2.823273,12.437556,19.80
34632,2.911325,13.427091,19.50
34633,2.931771,14.021473,19.35
34634,2.938114,14.494870,19.23
34635,2.983424,15.135787,19.08
34636,3.053512,15.922236,18.88
34637,3.128969,16.703093,18.69
34638,2.320810,8.599363,23.63
34639,2.093196,6.927044,24.78
34640,2.077980,6.756043,25.22
34641,2.498122,9.941905,23.93
34642,2.382378,9.494508,24.41
34643,2.130578,7.166792,25.82
34644,2.114325,6.881464,26.03
34645,2.086476,6.715337,26.01
34646,2.167748,7.262334,25.37
34647,2.211175,7.760066,24.79
34648,2.189033,7.664540,24.56
34649,2.188234,7.429224,24.45
34650,2.132485,7.152132,24.42
34651,2.155997,7.635354,23.98
34652,2.122231,7.552246,23.91
34653,2.099735,7.302516,23.93
34654,2.149066,8.068418,23.38
34655,2.270190,8.605270,22.99
34656,2.361920,9.387398,22.51
34657,2.362800,9.364078,22.46
34658,2.243991,8.490276,22.85
34659,2.216215,8.460645,22.84
34660,2.439769,9.946725,22.14
34661,2.289153,8.117370,23.03
34662,2.205059,7.585713,23.32
34663,2.212866,7.802794,23.18
34664,2.212366,8.039835,23.01
34665,2.161677,8.197741,22.86
34666,2.424040,10.382464,21.73
34667,2.418653,10.724973,21.47
34668,2.550890,11.723445,20.94
34669,2.416360,10.967745,21.08
34670,2.329189,10.422682,21.16
34671,2.435296,11.121250,20.76
34672,2.560872,11.241718,20.65
34673,2.446512,9.838930,21.23
34674,2.526822,10.415085,21.06
34675,2.480213,9.982745,21.42
34676,2.441697,9.755445,21.76
34677,2.476809,10.414468,21.74
34678,2.534301,10.999631,21.79
34679,2.731976,13.058195,21.33
34680,2.939384,15.250900,20.88
34681,2.855488,13.867882,21.45
34682,2.694547,12.141018,22.15
34683,2.391279,10.116838,23.00
34684,2.428030,10.583144,22.81
34685,3.002925,14.418864,21.45
34686,2.775412,12.687634,22.01
34687,2.473509,10.543891,22.83
34688,2.309837,9.452313,23.36
34689,2.195348,8.647244,23.85
34690,2.000123,6.849516,25.01
34691,2.270893,8.753812,24.09
