Clip,L1 Loss,L2 Loss,SNR (dB)
0,2.266652,9.021738,25.05
1,2.054181,7.419626,25.92
2,2.145302,7.604266,25.98
3,2.255471,8.176063,25.97
4,2.073822,6.710520,27.22
5,2.032470,6.801367,27.61
6,2.012832,6.473372,28.31
7,2.350890,8.770452,27.42
8,2.445599,9.298163,27.40
9,2.465760,10.297378,26.91
10,3.012959,15.465715,24.81
11,3.519087,20.207130,23.02
12,3.564120,22.297573,21.71
13,3.706989,24.810282,20.27
14,3.253078,17.151350,21.09
15,3.010893,14.620981,21.32
16,2.897514,13.607456,21.44
17,3.228185,15.693282,20.86
18,3.215356,16.057055,20.94
19,3.330415,17.330956,20.81
20,3.336243,18.325426,20.70
21,3.249193,18.290493,20.74
22,3.198992,17.097954,20.96
23,3.231008,18.014103,20.62
24,3.100811,16.954218,20.75
25,3.262742,19.261301,20.13
26,3.227749,17.916227,20.45
27,3.341367,19.535271,20.12
28,3.743510,24.130816,19.34
29,4.139651,29.100531,18.82
30,4.034648,28.621918,19.40
31,3.724125,22.669941,21.02
32,3.331033,19.023928,22.15
33,3.748678,23.361124,21.27
34,4.113174,26.898367,20.34
35,3.647209,21.592068,20.62
36,3.385362,19.189201,20.07
37,3.584551,21.023329,18.65
38,3.269111,16.925602,19.10
39,3.234880,16.843309,19.24
40,3.370374,18.550705,19.30
41,3.432738,17.583126,20.14
42,3.260558,17.191702,20.69
43,3.268907,18.112467,20.71
44,3.358166,20.182827,20.24
45,3.301224,19.506330,20.28
46,3.349694,18.552366,20.31
47,3.237043,17.297697,20.53
48,3.408909,19.801142,19.99
49,3.720450,22.302608,19.68
50,3.829967,24.123110,19.65
51,3.847092,24.937281,19.96
52,4.024207,25.215805,20.13
53,4.432721,30.009674,19.40
54,4.452859,31.586493,18.99
55,3.722103,22.916821,20.07
56,2.989790,14.193516,21.66
57,2.822177,12.765796,21.91
58,3.197153,16.020031,21.03
59,3.213420,18.219452,20.58
60,3.286172,21.457466,19.89
61,3.702676,27.830551,18.63
62,4.282611,39.339207,16.90
63,4.881892,50.450291,15.51
64,5.716370,60.901501,14.62
65,6.288962,69.892982,14.10
66,6.710979,78.898544,13.71
67,7.029866,88.440659,13.35
68,7.091891,94.486366,13.22
69,7.107791,100.186279,13.17
70,7.064300,105.490723,13.21
71,7.064763,108.438141,13.38
72,7.106455,107.687332,13.63
73,6.940204,99.656265,14.17
74,6.256617,86.875191,14.99
75,5.668355,73.332420,16.05
76,5.090386,60.936829,17.31
77,4.754316,55.582764,18.08
78,4.841723,50.205414,18.67
79,4.731350,43.826035,19.14
80,4.204971,33.412182,19.94
81,3.427873,20.174416,21.41
82,3.087762,15.295134,21.76
83,3.128777,15.602504,20.93
84,3.346343,18.297699,19.79
85,3.430669,18.783503,19.50
86,2.883022,13.728940,20.86
87,2.741696,11.722021,21.62
88,2.933282,13.139843,21.17
89,2.972944,13.064348,21.15
90,2.707052,11.525684,21.49
91,2.799810,13.727175,20.43
92,2.910916,14.700566,19.82
93,3.045370,16.019352,19.18
94,2.913054,14.079603,19.54
95,2.730381,12.658674,19.91
96,2.961461,15.722242,18.96
97,2.996250,15.647079,19.02
98,2.861985,14.365139,19.47
99,2.947801,14.701989,19.47
100,3.072022,15.379345,19.46
101,3.145870,16.195200,19.51
102,3.270077,16.585077,19.75
103,3.123828,15.227161,20.49
104,2.967793,13.471970,21.38
105,3.021147,14.884658,21.26
106,3.133571,17.775530,20.76
107,3.381008,20.771099,20.36
108,3.467602,20.475996,20.76
109,3.050809,14.803378,22.58
110,2.748725,11.742298,24.02
111,2.860202,13.851386,23.62
112,3.033144,16.819256,22.94
113,3.172131,19.968367,22.19
114,2.949370,19.786848,22.06
115,3.003020,19.082235,21.90
116,3.019989,18.000328,21.84
117,2.915218,17.272343,21.76
118,2.954407,16.288687,21.85
119,2.921570,14.737759,22.20
120,2.872606,14.971789,22.11
121,3.036611,16.204401,21.83
122,3.149991,16.982496,21.63
123,3.259747,18.105005,21.22
124,3.350029,17.996550,20.95
125,3.356245,17.510977,20.66
126,3.070073,15.561215,20.68
127,3.423576,20.102942,19.18
128,3.160905,17.948866,19.57
129,2.969121,15.499121,20.36
130,2.589086,12.502945,21.53
131,2.644175,12.503285,21.79
132,2.683432,12.106682,22.12
133,2.718162,11.734337,22.27
134,2.890055,13.283914,21.52
135,2.801198,12.607671,21.41
136,3.140661,15.220610,20.14
137,3.429284,17.847731,18.94
138,3.304415,17.253208,18.64
139,2.897376,14.808472,19.17
140,2.757517,13.603068,19.59
141,2.709144,13.289599,19.95
142,2.564682,11.810177,20.89
143,2.567378,11.074897,21.64
144,2.957044,13.918516,21.04
145,3.031082,16.379787,20.57
146,2.990882,16.720978,20.56
147,2.827204,14.328632,21.23
148,2.508317,11.498745,22.21
149,2.633317,10.937287,22.65
150,2.455712,10.552801,23.28
151,2.632618,12.317906,23.24
152,3.113121,15.904219,22.46
153,3.657785,21.244341,21.23
154,3.418946,20.602045,21.09
155,3.201038,17.072039,21.35
156,2.517845,11.061868,22.37
157,2.616265,11.283098,21.62
158,2.801334,13.002565,20.75
159,2.619392,11.657053,21.45
160,2.598891,11.682732,21.89
161,2.603361,11.525601,22.41
162,2.920358,14.039174,21.91
163,2.738241,12.938156,22.55
164,2.602098,10.842425,23.49
165,3.085099,14.947545,22.21
166,3.284297,17.552464,21.51
167,3.515974,19.265318,21.05
168,3.586200,20.755373,20.55
169,3.561885,22.088718,20.06
170,3.088457,16.859924,21.01
171,2.788133,13.808290,21.76
172,2.507243,12.177680,22.30
173,2.803815,14.981506,21.36
174,2.990309,17.817829,20.49
175,3.796512,28.307838,18.28
176,4.453593,35.874783,16.93
177,4.447363,32.496834,16.95
178,4.127103,28.404362,17.20
179,3.997865,26.353573,17.30
180,3.830915,24.739218,17.53
181,3.667907,22.651127,18.13
182,3.367629,20.302460,19.09
183,3.252639,19.164688,19.83
184,3.546830,21.484108,19.66
185,3.465801,20.442295,20.00
186,3.686561,23.822649,19.33
187,3.700934,24.787529,19.13
188,4.019019,27.333591,18.72
189,4.764863,33.602940,17.84
190,4.601133,32.163815,17.97
191,4.064711,24.996683,18.97
192,3.624854,21.082932,19.58
193,3.974621,22.930141,19.34
194,3.360687,18.273317,20.36
195,3.791545,23.410692,19.28
196,3.758953,23.101297,19.20
197,3.668947,21.064072,19.35
198,2.863815,12.716049,20.95
199,2.985181,13.888337,20.18
200,3.097702,15.290517,19.55
201,2.714663,11.808969,20.62
202,2.833497,13.181184,20.12
203,3.117429,15.588581,19.43
204,3.274698,17.603832,19.02
205,3.221103,17.366083,19.26
206,3.373682,18.478195,19.10
207,3.199241,17.294386,19.37
208,3.195105,16.210684,19.50
209,2.736978,12.177358,20.49
210,2.609679,10.770939,20.80
211,2.602602,10.998825,20.66
212,2.534444,11.125051,20.82
213,2.185154,8.948883,22.21
214,2.287873,9.166901,22.76
215,2.498712,10.805595,22.62
216,2.733972,12.582913,22.33
217,3.165853,16.639879,21.19
218,3.360133,18.593184,20.62
219,3.074066,15.704108,21.11
220,2.864461,13.047172,21.79
221,2.760087,12.773721,22.01
222,2.386121,9.621243,23.70
223,2.690416,11.840847,23.38
224,3.249885,16.869095,22.43
225,3.906622,23.933073,20.99
226,4.004270,26.181381,20.37
227,3.382906,20.223528,21.03
228,3.079429,15.802836,21.43
229,2.809399,12.880302,21.30
230,2.724431,12.473821,20.85
231,2.742169,12.516820,20.62
232,2.602565,11.477868,20.98
233,2.555374,11.071665,21.23
234,2.469233,9.893403,21.99
235,2.727006,12.036943,21.62
236,2.864766,13.235663,21.71
237,2.886789,13.025120,22.18
238,2.988029,14.384256,22.03
239,2.846312,13.575205,22.39
240,3.037960,15.039330,21.92
241,2.984720,14.673918,22.02
242,3.033419,14.893871,22.18
243,3.018994,14.914174,22.61
244,2.917948,15.280246,23.05
245,2.651426,13.032785,24.19
246,2.650068,13.992163,24.17
247,2.505201,11.956865,24.91
248,2.542135,11.753039,24.84
249,2.632797,12.228657,24.38
250,3.148106,16.655882,22.77
251,2.993636,13.844727,20.68
252,3.068984,15.421230,20.12
253,3.167262,16.963467,19.87
254,3.185806,18.159248,19.72
255,2.909141,15.676357,20.36
256,3.184578,17.303631,19.81
257,3.332644,18.820793,19.22
258,3.458912,19.318193,19.00
259,3.664562,22.231991,18.57
260,3.732101,22.918066,18.77
261,3.635805,22.597485,19.05
262,3.489345,20.845318,19.55
263,2.820421,13.760893,21.28
264,2.481615,10.229435,22.31
265,2.863685,13.472844,20.90
266,2.862790,13.768285,20.85
267,2.866285,13.995920,20.92
268,2.700850,12.931550,21.36
269,2.655343,12.265483,21.75
270,2.833617,15.659282,20.82
271,3.020408,17.618383,20.42
272,3.001064,15.745724,20.91
273,2.919090,14.784835,21.17
274,2.897623,14.649817,21.10
275,2.650328,13.181441,21.37
276,2.629302,13.086166,21.17
277,2.628021,12.029175,21.49
278,2.536267,11.471856,22.00
279,2.615353,11.396528,22.72
280,2.492556,11.188215,23.62
281,2.799238,13.223945,23.63
282,3.011955,15.014035,23.60
283,3.255217,17.272106,23.26
284,3.472134,20.410027,22.53
285,3.498677,21.402090,22.10
286,3.195817,17.020300,22.70
287,3.395534,20.299604,21.46
288,3.133152,17.726208,21.55
289,3.568383,22.886709,19.98
290,3.686667,23.650646,19.44
291,4.095338,28.956694,18.26
292,3.978903,28.766798,18.05
293,3.924187,28.525034,17.87
294,3.872441,28.657499,17.59
295,3.733994,27.424673,17.52
296,3.587817,25.467060,17.71
297,3.570952,24.728699,17.86
298,3.328449,19.912720,18.91
299,3.228952,18.897705,19.17
300,3.173356,18.327742,19.30
301,2.724986,12.155300,21.07
302,2.615718,11.643739,21.36
303,3.428093,20.255995,19.47
304,3.977205,25.676142,18.94
305,3.456084,19.908794,20.38
306,3.306923,18.913431,20.69
307,2.600333,11.506672,22.76
308,2.729460,11.672489,22.33
309,2.893274,13.442191,21.47
310,3.092038,15.623263,20.82
311,2.946603,13.329099,21.77
312,2.869533,12.898724,22.22
313,3.034062,14.713182,21.94
314,2.467281,10.232428,23.62
315,2.320072,8.874971,24.17
316,2.384583,9.561666,23.67
317,2.641664,11.612267,22.55
318,2.756002,12.681765,21.83
319,2.881128,13.767429,21.24
320,2.960395,14.921915,20.82
321,3.191845,16.868198,20.42
322,3.293856,18.450413,20.25
323,3.215434,19.565931,20.23
324,3.510469,22.885847,19.76
325,3.429544,21.099590,20.30
326,3.272829,18.172812,21.05
327,3.211196,17.210518,21.33
328,3.276972,18.151733,21.12
329,3.462528,20.045380,20.78
330,3.391603,19.618374,21.07
331,3.162601,17.254780,22.01
332,2.581190,10.917646,24.52
333,2.341940,8.913026,25.92
334,2.567985,10.535211,25.59
335,2.779128,13.260251,24.78
336,2.932318,13.769297,24.53
337,3.064749,15.877517,23.54
338,3.062809,15.905781,22.96
339,3.022928,16.754663,22.04
340,2.875152,15.433400,21.73
341,2.819862,13.750939,21.82
342,2.704494,12.603425,22.27
343,3.241985,16.834604,21.29
344,3.619037,20.789682,20.67
345,3.281289,17.613241,21.49
346,2.756463,12.073013,23.07
347,2.674860,12.267405,22.69
348,2.584727,11.141154,22.73
349,2.635466,11.168235,22.50
350,2.871547,13.297353,21.77
351,2.762163,13.572283,21.82
352,2.526650,10.889990,22.94
353,2.389310,9.661296,23.66
354,2.603579,11.047315,23.23
355,2.938644,13.722711,22.44
356,2.420610,9.846872,24.00
357,2.341243,9.461562,24.31
358,2.811396,13.046354,23.07
359,3.232206,16.160393,22.38
360,2.733868,11.774951,23.88
361,3.120502,15.061990,22.80
362,3.352538,18.655598,21.65
363,2.791196,12.768516,22.93
364,2.684657,11.441851,22.85
365,2.621381,10.507612,22.79
366,2.789940,12.158945,22.09
367,2.901213,13.460203,21.80
368,3.110105,15.375886,21.37
369,3.470707,19.466103,20.40
370,3.205088,16.558826,21.11
371,2.975959,14.422217,21.68
372,2.989048,14.519310,21.83
373,3.352629,17.342350,21.44
374,3.121811,16.037327,22.16
375,2.959383,14.385234,22.83
376,2.733605,12.634331,23.34
377,2.620018,11.195589,23.64
378,2.310951,9.030494,24.19
379,2.482349,11.264606,22.91
380,2.785410,14.771864,21.63
381,2.915779,15.694180,21.53
382,2.676256,12.655441,22.62
383,2.843400,13.714512,22.24
384,2.967250,15.267110,21.62
385,3.167544,17.335737,20.74
386,3.077927,17.596756,20.23
387,3.043894,16.255983,20.20
388,2.989636,16.359583,20.15
389,3.058053,16.522467,20.35
390,2.740945,13.013002,21.79
391,2.845459,13.331275,22.18
392,3.194494,15.663487,21.91
393,3.466357,19.099718,21.34
394,3.192481,16.585339,22.14
395,2.922578,13.865244,23.00
396,2.925148,14.796968,22.75
397,3.125643,16.397539,22.35
398,3.208270,17.639086,22.00
399,3.173515,16.885893,22.06
400,2.976978,15.144943,22.27
401,3.070931,15.952060,21.66
402,3.266772,17.853586,20.71
403,3.312163,16.994217,20.60
404,3.194334,16.536781,20.73
405,3.597125,19.999451,20.23
406,3.639129,20.117416,20.51
407,3.328292,18.182983,21.09
408,3.667515,20.659904,20.49
409,3.471341,19.576956,20.54
410,2.982991,14.878116,21.44
411,3.274440,17.091694,20.69
412,3.323392,18.232718,20.43
413,3.347214,18.058880,20.66
414,3.272178,17.091883,21.05
415,3.083246,16.214634,21.33
416,2.693578,12.889258,22.33
417,2.814760,12.984985,22.33
418,2.742991,11.548528,22.85
419,2.806633,13.156953,22.41
420,3.162725,16.953810,21.68
421,3.731961,21.905937,20.95
422,3.167144,16.328793,22.35
423,3.566351,19.128632,21.57
424,3.030718,14.683557,22.41
425,2.890088,13.711511,22.12
426,2.703824,11.702128,22.13
427,2.819205,12.518744,21.70
428,2.634219,11.037168,22.71
429,3.542211,20.331209,20.79
430,3.206340,17.448460,21.80
431,4.209078,28.862034,19.68
432,3.950884,25.593954,19.99
433,3.245580,17.294966,21.19
434,2.774056,12.468237,21.81
435,2.993661,14.738320,20.65
436,3.436151,18.931198,19.44
437,3.448607,19.918331,19.27
438,3.287955,21.002121,19.22
439,3.433777,23.067665,19.14
440,3.430336,22.642748,19.60
441,3.938179,26.933367,19.15
442,4.066678,27.748650,19.22
443,3.847332,24.225843,19.89
444,3.507007,20.767973,20.57
445,3.308590,18.576242,21.08
446,3.440506,20.492842,20.81
447,3.191874,17.974512,21.60
448,2.944014,15.109485,22.40
449,3.085644,15.938359,21.99
450,2.861642,15.323308,21.77
451,3.084383,17.392460,20.65
452,2.800698,13.811891,20.99
453,2.780548,13.640208,20.72
454,3.297621,19.066895,19.47
455,2.989590,15.298569,21.13
456,3.368127,17.184683,21.42
457,3.923540,22.104282,20.85
458,4.012280,24.499468,20.63
459,3.290284,19.278734,21.68
460,3.039372,15.767924,22.28
461,3.078157,15.279238,21.98
462,2.778900,12.181209,22.69
463,2.671603,10.934195,23.20
464,3.237692,17.191175,21.53
465,3.119589,16.928726,22.11
466,2.726003,12.267499,24.12
467,2.677635,12.149750,24.77
468,2.780137,13.581804,24.79
469,2.547257,11.016274,26.09
470,2.279241,9.157888,27.17
471,2.395977,9.986047,26.99
472,2.273154,8.586928,27.74
473,2.216180,8.037118,28.03
474,2.214288,7.575227,28.17
475,2.012940,6.399399,28.69
476,1.944178,6.243310,28.55
477,2.065576,7.053367,27.76
478,2.000048,6.916409,27.65
479,1.879854,6.210637,28.03
480,1.637015,4.235119,29.66
481,1.797795,4.754023,29.13
482,1.725791,4.659873,29.22
483,1.929399,5.875337,28.29
484,2.040071,6.848253,27.77
485,2.556371,10.000963,26.33
486,2.387644,8.778834,27.14
487,2.608074,11.422682,26.12
488,2.924150,13.875070,25.19
489,3.111517,16.683126,24.02
490,3.014265,14.785002,23.96
491,3.124951,16.060137,22.79
492,3.438602,18.613483,21.28
493,3.700174,21.597578,20.05
494,3.141132,16.075148,21.35
495,4.345850,28.298283,19.22
496,4.314903,29.600885,19.03
497,3.969422,25.691162,19.47
498,4.246224,29.223995,18.49
499,4.630166,33.986256,17.11
500,3.452399,20.028076,18.40
501,4.290689,31.124685,16.11
502,2.830191,14.401694,24.61
503,2.711988,12.151594,24.63
504,2.596530,11.048945,24.29
505,3.049197,14.300710,22.66
506,3.053774,14.388529,22.70
507,3.218776,15.299443,22.87
508,3.534180,19.351889,22.32
509,3.743708,22.466425,21.87
510,3.561324,21.682817,21.98
511,3.701012,24.214319,21.16
512,4.348362,32.431332,19.24
513,4.309568,29.766380,18.74
514,4.326122,30.402914,17.97
515,4.629818,33.920345,17.01
516,4.925930,37.074215,16.30
517,4.677156,34.647659,16.48
518,4.320290,29.208002,17.30
519,3.883147,24.071655,18.29
520,3.542488,21.303837,18.93
521,3.201415,17.766235,19.76
522,3.464398,19.030544,19.40
523,3.761302,22.412096,18.57
524,3.991344,26.956177,17.79
525,4.112636,28.852718,17.83
526,4.086791,25.381987,19.11
527,3.763479,21.964970,20.39
528,3.531937,19.634508,21.30
529,3.422931,19.104845,21.62
530,2.831582,14.134989,22.89
531,2.891011,13.322654,22.79
532,2.987725,15.402305,21.71
533,3.029762,16.819374,21.03
534,3.028924,16.031042,21.17
535,3.250666,17.268471,20.92
536,3.130546,16.296185,21.21
537,3.017446,16.232912,21.23
538,3.065043,16.775827,20.99
539,3.166214,18.400486,20.38
540,3.060287,17.882412,20.17
541,3.090797,18.121477,19.83
542,3.378923,21.606384,18.85
543,3.443706,22.395294,18.60
544,3.204125,18.535643,19.47
545,3.073696,17.138344,20.06
546,3.252162,17.844465,20.34
547,3.085685,14.984741,21.80
548,2.799877,12.843098,23.24
549,3.222113,16.804657,22.76
550,3.514507,20.816599,22.27
551,3.247324,19.272974,22.85
552,3.608864,23.348051,22.03
553,3.592359,22.695869,21.97
554,3.281240,19.806614,22.26
555,3.390030,21.600363,21.61
556,3.493613,22.516962,21.21
557,3.485414,22.269239,21.10
558,3.439434,20.486931,21.36
559,3.394882,20.704597,21.25
560,3.380874,21.302324,21.06
561,3.325095,19.357634,21.43
562,3.359326,19.158855,21.47
563,3.436231,20.019526,21.33
564,3.483533,19.779196,21.47
565,3.461113,18.959972,21.77
566,3.618769,22.610498,21.16
567,4.019904,27.823202,20.44
568,4.083318,29.496630,20.42
569,3.807618,26.309267,21.24
570,3.264795,19.358442,22.97
571,2.924159,14.307029,24.64
572,2.921472,14.135459,24.91
573,3.253611,18.942438,23.66
574,3.337630,19.302565,23.42
575,3.242599,17.388752,23.52
576,3.329998,17.962450,22.89
577,3.201982,16.750483,22.64
578,3.135528,15.810290,22.33
579,3.183697,16.903198,21.52
580,3.069595,15.993315,21.31
581,2.889112,14.834094,21.36
582,2.935450,15.212812,21.25
583,3.083776,16.033998,21.26
584,3.359563,18.869387,20.90
585,2.993448,14.566851,22.21
586,3.053889,14.756890,22.22
587,3.132315,15.732547,21.89
588,3.344504,18.544363,21.11
589,3.090394,16.518492,21.68
590,3.035681,15.416894,22.39
591,4.237109,28.898478,20.24
592,4.128647,28.409384,20.53
593,3.845674,24.088842,21.19
594,3.822920,23.754683,20.92
595,3.193015,17.224800,21.72
596,2.770396,13.229726,22.00
597,3.166000,16.938904,20.58
598,3.188534,18.057110,20.46
599,3.181766,16.910526,21.17
600,3.186409,16.553553,21.72
601,3.237907,16.807274,22.02
602,3.303999,19.064636,21.68
603,3.202917,19.024687,21.72
604,2.944737,16.813169,22.18
605,2.883010,15.286565,22.44
606,3.221816,18.064823,21.54
607,3.902376,24.309050,20.10
608,3.985428,26.618795,19.57
609,3.800340,24.067577,19.94
610,3.714218,23.094259,20.17
611,3.758279,23.605801,20.32
612,3.893003,25.665337,20.44
613,3.511524,20.907934,21.69
614,3.521299,21.392067,21.78
615,3.818066,24.867392,21.08
616,3.611026,23.641586,21.09
617,3.113744,17.468687,21.92
618,3.414865,20.399666,20.77
619,3.583743,21.787157,20.09
620,3.691220,22.609877,19.72
621,3.887357,25.216188,19.10
622,3.756387,24.784040,19.07
623,3.747593,24.401606,19.15
624,3.284591,18.981340,20.49
625,2.710149,13.102909,22.57
626,2.817668,13.271101,23.02
627,3.104706,16.055241,22.40
628,3.787003,23.946720,20.65
629,3.888340,24.506269,20.34
630,3.442659,19.399454,21.03
631,3.348977,18.285801,20.93
632,3.079024,15.964652,21.50
633,2.912220,13.925611,22.36
634,3.337542,19.270651,21.29
635,3.250331,17.653551,21.89
636,3.316772,19.549931,21.51
637,3.512412,22.663309,20.78
638,3.050501,16.441172,21.97
639,2.910004,13.699081,22.48
640,2.819757,12.822289,22.53
641,2.965134,13.504253,22.32
642,3.155318,15.893908,21.87
643,3.084797,15.099441,22.47
644,3.241033,16.522310,22.26
645,2.633439,10.908632,24.08
646,2.662584,10.815952,23.97
647,2.552965,10.817742,23.69
648,2.832862,12.539055,22.65
649,2.863126,14.132095,21.88
650,2.951757,14.221603,21.71
651,2.648788,11.494207,22.60
652,2.734138,12.703919,22.12
653,3.091665,16.699978,20.89
654,3.272140,18.146835,20.38
655,3.220027,17.932318,20.27
656,3.120120,16.477758,20.43
657,3.082623,16.407475,20.34
658,2.733391,13.843554,21.18
659,2.744340,12.753196,21.88
660,2.919380,13.637547,21.90
661,3.093405,15.436516,21.58
662,3.101411,14.489807,21.97
663,2.648720,11.016450,23.19
664,2.710890,11.564406,23.07
665,2.865256,13.556372,22.61
666,3.007187,14.849092,22.44
667,2.984322,14.972951,22.40
668,3.315038,17.731699,21.52
669,3.170351,16.706057,21.45
670,2.975383,15.755127,21.22
671,2.977829,14.957882,21.06
672,2.953512,14.617401,21.09
673,2.781677,12.602566,21.86
674,2.904449,13.824038,21.70
675,3.133586,16.996227,21.10
676,3.162117,18.731552,20.89
677,3.122116,17.367851,21.35
678,2.991851,14.874217,22.07
679,2.487992,9.793722,23.86
680,2.414559,9.656967,23.88
681,2.675169,11.891223,23.05
682,3.124292,15.481642,22.15
683,2.971559,14.024350,22.81
684,2.786150,11.957813,23.60
685,2.677660,11.210303,23.86
686,2.460239,9.614591,24.36
687,2.447439,9.665093,24.03
688,2.735096,12.982213,22.41
689,2.839353,14.200221,21.85
690,3.007777,15.085747,21.65
691,3.318947,17.384901,21.38
692,3.808102,23.042326,20.82
693,4.156029,26.459755,20.84
694,4.995553,35.349316,19.96
695,4.129469,26.136391,21.27
696,3.265762,17.862961,22.69
697,3.640050,20.692692,21.54
698,3.865874,23.686249,20.44
699,3.369166,20.102692,20.92
700,3.355608,21.200497,20.93
701,3.548770,24.257555,20.72
702,3.433926,25.246002,20.95
703,3.445867,24.396339,21.45
704,3.380214,22.284775,22.15
705,3.037861,17.994219,23.36
706,3.095198,17.549477,23.70
707,3.038840,17.623608,23.88
708,2.812205,16.087883,24.44
709,2.552199,12.627321,25.62
710,2.232977,8.544224,27.40
711,2.131101,7.533619,28.02
712,2.067250,6.753833,28.56
713,1.859954,5.375133,29.58
714,1.851689,5.748686,29.32
715,1.746547,4.911775,30.03
716,1.624699,4.576592,30.39
717,1.729200,5.456445,29.67
718,2.059292,6.969524,28.62
719,2.208645,8.383178,27.69
720,2.384569,9.961253,26.64
721,2.629056,13.090259,24.98
722,2.640134,13.565644,24.20
723,3.017697,16.806267,22.55
724,3.097794,17.845556,21.60
725,3.227473,17.704702,21.07
726,3.101083,16.028563,21.05
727,3.055928,15.725322,20.79
728,2.698845,12.093457,21.69
729,2.688048,12.306699,21.55
730,2.506823,10.709234,22.33
731,2.439025,9.811574,23.10
732,2.542688,10.566098,23.31
733,2.687875,11.234504,23.62
734,2.481103,10.134720,24.66
735,2.396625,10.012150,25.26
736,2.390510,10.966228,25.39
737,2.398128,10.468381,26.03
738,2.153493,7.876058,27.65
739,1.843347,6.094507,29.06
740,2.010068,6.738698,28.77
741,2.233031,8.070888,27.88
742,2.324779,8.602088,27.22
743,2.243049,8.492310,26.61
744,2.404615,10.443100,24.79
745,2.709826,12.102027,22.96
746,2.850948,13.276938,21.40
747,2.410242,9.883220,21.85
748,2.700294,11.791911,20.94
749,3.208965,15.776438,19.89
750,3.691358,21.826694,18.66
751,4.124283,26.921455,17.80
752,3.623831,21.227297,18.75
753,2.926982,12.772688,22.36
754,3.166747,15.415139,21.37
755,2.964838,13.183117,21.86
756,2.797620,11.579316,22.11
757,2.934842,12.883019,21.35
758,2.778521,11.951628,21.71
759,2.884458,13.273697,21.50
760,2.642423,10.931997,22.48
761,2.882035,13.097112,21.74
762,2.797959,13.099912,21.71
763,2.953597,14.293808,21.33
764,2.630635,12.173444,22.08
765,2.845535,13.525585,21.77
766,3.302252,17.480585,20.70
767,3.245235,16.947107,20.79
768,3.340739,17.317465,20.60
769,3.244879,17.042118,20.54
770,3.219197,16.500124,20.75
771,3.546866,19.985142,20.16
772,3.753632,23.241571,19.64
773,4.060553,27.834806,18.89
774,3.604640,23.084467,19.59
775,3.111199,16.713474,20.67
776,2.922875,15.309887,20.77
777,2.991512,15.272668,20.82
778,3.016051,15.069497,21.16
779,2.888011,13.974157,21.97
780,2.880196,13.232372,22.78
781,3.243560,15.597273,22.45
782,3.624454,20.140520,21.48
783,3.614578,20.966526,21.24
784,3.640283,22.658901,20.66
785,3.686437,22.845705,20.23
786,3.404416,19.897606,20.53
787,3.615854,20.728161,20.31
788,3.702548,21.491846,20.17
789,3.801023,23.551815,19.81
790,3.642246,21.683437,20.17
791,3.876374,24.589994,19.50
792,3.963389,26.431547,18.93
793,4.097999,28.782997,18.41
794,3.717317,24.204407,19.11
795,3.040664,16.549500,20.78
796,2.773026,12.973415,21.91
797,2.767722,13.150899,21.95
798,2.765979,12.782259,22.23
799,2.978926,14.508390,21.96
800,3.049117,15.287058,22.11
801,2.581410,11.114109,23.84
802,2.555461,11.313184,23.97
803,3.296166,17.855133,21.95
804,3.582528,21.066309,20.95
805,3.867175,25.396545,19.64
806,3.543092,21.832842,19.68
807,3.457814,21.312241,19.20
808,3.737227,25.257284,18.10
809,4.016963,28.741777,17.34
810,4.302736,31.661407,16.80
811,4.209541,29.415785,17.12
812,4.079835,28.213627,17.49
813,4.117104,30.185915,17.59
814,4.582845,36.249310,17.39
815,5.044441,43.135368,16.99
816,4.635663,37.440762,17.73
817,4.082905,29.294111,18.74
818,3.572254,22.436098,19.71
819,3.344824,18.785564,20.15
820,3.505465,19.834015,19.78
821,3.386810,18.352308,20.12
822,3.351834,18.055336,20.29
823,3.410891,18.229822,20.36
824,3.094946,16.004959,20.99
825,3.035912,15.288737,21.21
826,3.185534,17.354979,20.72
827,2.995082,14.571753,21.50
828,2.683997,11.829465,22.34
829,2.651922,12.377326,22.00
830,2.845191,13.956574,21.51
831,2.622297,11.830293,22.43
832,2.447980,9.728131,23.60
833,2.367676,8.452934,24.59
834,2.282713,8.038223,25.16
835,2.583137,10.966667,24.06
836,2.251788,8.725785,25.23
837,2.124987,7.363312,26.10
838,2.048030,7.187473,26.33
839,2.130705,7.836537,26.10
840,2.043199,6.959044,26.80
841,2.088963,7.334862,26.79
842,3.006990,15.704576,23.76
843,3.232767,16.223934,23.66
844,3.014786,14.902458,23.84
845,2.841763,14.284490,23.63
846,3.047975,17.324284,22.22
847,2.930174,15.710510,21.77
848,2.882730,13.825655,21.57
849,2.759418,12.853561,21.43
850,2.972154,15.131170,20.57
851,2.973945,15.669664,20.48
852,3.181056,16.888222,20.35
853,3.263479,18.481781,20.24
854,3.504325,21.035229,20.04
855,3.485759,22.027475,20.32
856,3.292101,19.424404,21.42
857,2.689513,12.478223,23.93
858,2.491091,11.527092,24.79
859,2.655245,12.081369,25.02
860,2.523345,10.971353,25.75
861,2.329617,9.618280,26.52
862,2.221674,7.979454,27.44
863,2.571955,10.976655,26.15
864,2.612487,11.230574,25.89
865,3.026686,14.425035,24.44
866,2.928310,14.234262,23.90
867,3.276590,18.195671,21.99
868,3.462633,20.129803,20.36
869,3.404384,18.859253,19.55
870,3.337876,18.031502,18.85
871,2.935514,13.775723,19.48
872,2.944715,14.524526,19.17
