Clip,L1 Loss,L2 Loss,SNR (dB),SSIM
227,3.594157,21.853979,21.25,0.7388
228,2.606922,11.586626,24.04,0.8011
229,2.780905,13.372131,21.95,0.7848
230,3.112443,16.711746,21.32,0.7523
231,3.280165,18.748892,20.96,0.7525
232,2.814045,13.446546,22.31,0.7810
233,2.818958,14.136530,22.57,0.7437
234,3.032555,15.709500,21.29,0.7839
235,2.962933,15.240277,22.22,0.7611
236,2.996597,15.574260,22.19,0.7720
237,2.922880,14.506937,22.35,0.7547
238,2.927670,14.535761,21.51,0.7919
239,3.801392,25.376421,19.31,0.7206
240,2.861513,14.130816,22.78,0.7955
241,3.215369,17.267740,21.58,0.7776
242,3.450556,20.199951,21.71,0.7045
243,3.268483,18.326744,20.28,0.7557
244,2.955198,14.686914,21.56,0.7666
245,3.133992,17.071575,21.69,0.7871
246,2.078063,7.534895,26.05,0.7440
247,2.811235,14.386988,22.98,0.7195
248,2.028910,7.582340,25.09,0.7515
249,2.754792,13.070928,22.75,0.8176
250,2.665706,12.247300,22.42,0.8047
251,3.121753,16.968063,20.94,0.7509
252,2.950061,14.789268,21.70,0.7564
253,2.229269,8.883731,24.86,0.7168
254,2.814043,13.652862,22.74,0.7742
255,3.228067,18.194221,21.05,0.7380
256,3.294671,18.444021,20.74,0.7335
257,3.226717,17.712076,22.02,0.7753
258,3.082469,16.794552,21.66,0.7774
259,2.089407,7.419174,24.80,0.7916
260,3.021703,15.450760,21.85,0.7657
261,2.608319,11.555269,22.71,0.7999
262,2.994553,15.136954,21.96,0.7574
263,3.003360,16.129187,22.46,0.7536
264,2.934510,15.021384,22.21,0.7868
265,1.961301,6.970488,26.54,0.7435
266,2.959776,14.993279,21.69,0.8130
267,2.067364,7.291124,25.52,0.6980
268,2.204626,8.535857,23.71,0.8194
269,3.280895,19.390270,21.28,0.7616
270,2.624004,11.849959,22.24,0.7891
271,3.025215,15.718238,21.93,0.7870
272,3.103840,16.514551,21.71,0.7602
